recipe name,preparation time,min_portion,max_portion,ingredients,steps
Calzones rotos,0.0,,,"['3 tazas de harina cernida', '1 cucharada polvos de hornear', '3/4 taza de azúcar flor cernida (es el azúcar en polvo)', '2 cucharadas de margarina', '1 huevo', '2 yemas', 'Ralladura de 1 limón', '1/2 taza de agua quizás un poco más', 'aceite para freír', 'azúcar flor para espolvorear']","['1-Unir los ingredientes secos, la harina, los polvos y azúcar. Luego la ralladura de limón.', '2-Enseguida agregar el huevo y después las yemas una a una.', '3-Incorporar la mantequilla ablandada y unir bien la masa. Finalmente agregar agua suficiente para formar una masa homogénea.', '4-Uslerear la masa y dejarla aproximadamente 1/2 cm de grosor. Cortar rectángulos de 10 cm por 5 cm. Luego hacer sobre ellos un corte vertical de unos 3 cm y pasar un extremo del rectángulo por este ojal.', '5-Freír en aceite caliente, deben quedar dorados.', '6-Escurrirlos bien y dejarlos en papel absorbente.', '7-Finalmente espolvorear con azúcar flor.']"
Carbonada de pollo,35.0,4,,"['1 cucharada de aceite', '\xa01/2 cebolla', '1 pechuga de pollo', '\xa01 trozo de pimentón rojo', 'Unas ramas de perejil', '\xa03 papas medianas cortado en cuadrados medianos', '\xa01 trozo de zapallo cortado en cuadrados medianos', '1 a 2 zanahorias medianas cortados en cuadros pequeños', '3 tazas de caldo de pollo o agua', '1 choclo entero (maíz) dividido en 4', '1/2 cucharadita de sal', '\xa0Pimienta a gusto', '1 cucharadita ají color o paprika', '1/2 cucharadita de orégano', '\xa01/4 taza cabellos de ángel']","['1-En una olla colocamos el aceite y la cebolla picada en cuadros pequeños. Sofreímos y agregamos el pollo picado en pequeños trozos, también los aliños a gusto. Después de unos minutos poco a poco comenzamos agregar los vegetales TODOS picados en cuadros.\n2. El pimentón en cuadritos pequeños al igual que la zanahoria. Luego las papas y el zapallo. El perejil picado fino. Revolvemos bien y agregamos el caldo de pollo, si no se tiene el caldo use agua.\n3. Cocinar por 20 minutos\n4. Luego colocamos el choclo cortado en 4 trozos.\n5. Y también los cabellos de ángel (tipo de pasta)\n6. Cocinar por 5 minutos y apagar el fuego.\n7. Servir en un plato hondo con perejil picado encima.']"
Cazuela de Ave,35.0,2,,"['2 trutos de pollo', '4 papas medianas', '2 trozos pequeños de zapallo', '1 choclo entero', '1 zanahoria cortada en tiras', '1 trozo pequeño de morron (puede ser verde o rojo)', '1 diente de ajo', '1 rama de apio', '1 rama de perejil', '1/2 cebolla', '3/4 taza de surtido de verduritas (porotos verdes y arvejas)', 'sal, pimienta, comino y orégano', 'perejil a gusto', '4 cucharadas de arroz o 1/2 taza de cabellos de ángel']","['1-No es necesario hacer un sofrito, ya que al cocer todas las verduras y pollo, suelta los sabores naturales.', '2-Así que en una olla grande colocamos los trozos de pollo sin cuero, luego las papas enteras peladas, trozos de zapallo, el choclo partido en dos, el ajo entero, así también el trozo de cebolla y el resto de verduras, sal, pimienta, comino, orégano a gusto. Y las ramas de apio y perejil enteras.', '3-Se lleva a cocer con agua tibia o fría y al momento que comienza a hervir se le agrega el arroz, éste al soltar su almidón provoca que el caldo se espese por si solo. Y esta cocción dura apróximadamente unos 25 minutos a fuego medio se debe ir revolviendo de vez en cuando. Si en el caso que aún le falte cocción al arroz y las papas o el zapallo ya estan listos, se retiran estas dos verduras momentáneamente porque se pueden recocer y luego se vuelven a colocar en el caldo.', '4-*También pueden usar cabellos de ángel o sémola en reemplazo del arroz.']"
Cazuela de pavo con chuchoca,80.0,4,,"['1 cucharada de aceite', '4 presas de pavo', '1/2 cebolla cortada en dos', '1/2 unidad de pimentón rojo', '2 dientes de ajos pelados', '1 zanahoria pelada y cortada a lo largo', '1/2 cucharita de orégano', '1 cucharadita de ají color (paprika)', 'Sal y pímienta a gusto', '4 papas', '4 trozos de zapallo camote', '4 trozos de choclos (maíz) (1 choclo partido en dos o 3)', '1 rama de perejil', '1 cucharadita de perejil picado', '3/4 taza de porotos verdes picados', '3 o 4 cucharadas de chuchoca (maíz molido)']","['1-Lavar las presas de pavo y secarlas muy bien.', '2-Luego en una olla calentar el aceite y sellar las presas de pavo. Retirar.', '3-En ese mismo aceite, saltear la cebolla y ajo. Este proceso dura 2 minutos.', '4-Agregar las presas de pavo,pimentón, zanahorias y sazonar con sal, pimienta, ají color, orégano, rama de perejil y añadir 1 1/2 litros de agua caliente aproximadamente.', '5-Cocinar por unos 20 minutos.', '6-Reducir el calor y añadir las papas enteras peladas, trozos de zapallo, choclos y cocinar por unos 15 minutos , añadir los porotos verdes y cocinar por unos 3 minutos más.', '7-Luego a fuego medio/bajo añadir la chuchoca en forma de lluvia, revolver muy bien. Cocinar unos 4 minutos más.', '8-Servir en un plato hondo con un trozo de pavo, 1 papa, 1 trozo de zapallo, 1 trozo de choclo, caldo con verduras e idealmente con perejil picado encima.']"
Cazuela de vacuno,50.0,4,,"['1 1/2 kilo de asado de tira (con hueso)', '4 papas medianas', '4 trozos de zapallo camote', '1 taza de porotos verdes en tiras finas', '1/2 morrón rojo cortado en tiras', '1 zanahoria cortada en juliana (tiras)', '1 a 2 dientes de ajos pelados y enteros', '1/2 unidad de cebolla cortada en juliana', '4 mitades de choclo (maíz)', '1/2 taza de arroz crudo', '1 pizca de orégano', 'Sal y pimienta a gusto', '1 ramita de apio']","['1-Colocar los trozos de carne en una olla con 1 1/2 litros de agua fría.', '2-Sazonar con sal, pimienta,la rama de apio, ajo y cebolla. Desde que comienza a hervir el agua, es aproximadamente unos 25 minutos a fuego medio bajo.', '3-Luego agregar las zanahorias, el morrón cortado, las papas enteras y peladas (sin cáscara), y el arroz. Cocinar por unos 10 minutos y luego agregar el zapallo y choclo (maíz). Cocinar por unos 10 minutos y agregar los porotos verdes y dejar unos 5 minutos más.', '4-Debe verificar que esté bien de sal. Y que todos los vegetales estén bien cocidos. Si alguno le falta y otro está listo, retirar el que esté listo para terminar la cocción del que le falta.', '5-Luego juntar todo y dejar reposar un rato.', '6-Al momento de servir, colocar en cada plato un trozo de carne, una papa, un trozo de zapallo, un trozo de choclo, verduritas y el caldo con un poquito de arroz.', '7-Puede servir con cilantro o perejil si desea.']"
"Chacarero, sandwich chileno",14.0,1,,"['1 pan para sandwich, puede usar marraqueta, pan frica también o la receta del blog', '220 grs de carne, puede usar lomo o asiento (carne en láminas delgadas)', '4 rodajas de tomate', '1/2 taza de porotos verdes cocidos y cortados a lo largo', '1 cucharada de ají verde picado', '1 cucharada de mayonesa (puede usar mantequilla)']","['1-En un sartén con un poquito de aceite o en una plancha, cocinar la carne aliñada con un poco de sal. Esta carne se cocina rápido. No más allá de 2 minutos por lado, sino quedará seca.', '2-Abrir el pan y untar cada tapa con mayonesa o mantequilla.', '3-Colocar en la base del pan los trozos de carne, enseguida el tomate, porotos verdes y ají picado.', '4-Cerrar el pan y disfrutar!']"
Charquicán,50.0,2,,"['3 papas grandes', '1 taza de zapallo cortado en cuadrados', '1 diente de ajo picado fino', '1/2 cebolla picada en cuadros finos', '1 taza de surtido de verduras (choclos, poroto verde, arvejas, zanahoria)(pueden ser congeladas)', '1/8 de carne molida o trozos pequeños de carne de vacuno', '3 cucharadas de aceite', 'Un poco de orégano y ají color', 'sal, pimienta a gusto', '3 hojas de albahaca', '2 cucharadas de salsa de tomate', 'Optativo sería usar un poco de caldo de ave', 'Huevos para acompañar']","['1-Se pelan las papas y se cortan en cuadrados, se junta con el zapallo y se cuecen con agua tibia con sal por unos 20 minutos.', '2-Aparte de cuecen en una olla con agua tibia también las verduritas por unos 5 minutos desde que comienza a hervir el agua.', '3-Mientras tanto, en un sartén se calienta el aceite, se fríe la cebolla y el ajo por unos 3 minutos. Luego se agrega la carne y se aliña con un poco de orégano, ají color, sal y pimienta a gusto, además de las hojas de albahaca picadas. Finalmente se agrega la salsa de tomate. Mezclar todo muy bien y dejar cocinar unos dos minutos más,', '4-Una vez lista las papas y el zapallo, se les retira un poco el agua de la cocción, a no ser que lo desee más aguado en ese caso le deja el agua que desee para lograr la consistencia que quiere Se muelen un poco las papas y el zapallo.', '5-Se agregan las verduras cocidas, más el sofrito de cebolla con carne. Unir cuidadosamente todo muy bien.', '6-Servir idealmente con un huevo frito encima.']"
Charquicán de cochayuyo,40.0,4,,"['1 taza de cochayuyo cocido y picado', '4 papas grandes', '2 tazas de zapallo camote', '1 cebolla pequeña picada en cuadros', '1 diente de ajo', '1 trozo de morrón rojo picado', '1 cucharada de aceite', '1 taza de verduritas surtidas cocidas (porotos verdes, zanahorias, arvejas, etc)', '1 cucharadita de ají color', '½ cucharadita de orégano', 'Sal y pimienta a gusto']","['1-Para el cochayuyo debe dejarlo remojando la noche anterior con agua y una pizca de vinagre. Al siguiente día debe cocinarlo en abundante agua por unos 25 a 30 minutos. Estilar y cortar en cuadros.', '2-En una olla cocer las papas peladas y picadas con el zapallo, agregar un poco de sal y cocinar por unos 15 minutos. Retirar el agua en exceso y moler un poco.', '3-Mientras se cocinan las papas y el zapallo preparar el sofrito con la cucharada de aceite, freír la cebolla y el ajo por unos 4 a 5 minutos. Agregar el morrón rojo y sazonar con el ají color, orégano, sal y pimienta. Si desea también puede agregar un poco de comino, pero es totalmente opcional. Esto toma unos unos 3 minutos. Agregar el cochayuyo, mezclar todo muy bien.', '4-Añadir esta mezcla a las papas y zapallo. Agregar las verduritas elegidas. Revolver todo muy bien hasta integrar todos los ingredientes.', '5-Servir acompañado de un huevo frito o pochado.']"
Chilenitos con merengue,8.0,,,"['2 tazas de harina cernida', '1/2 cucharadita de polvos de hornear', 'Ralladura de una naranja', '5 cucharaditas de jugo de naranjas', '3 yemas', '3 claras', '2/3 taza de azúcar granulada, hecha almíbar de pelo', '6 cucharadas rasas de azúcar flor cernida', '1 taza de manjar']","['1-Precalentar el horno a 350°F (180°C)', '2-Unir la harina con los polvos de hornear más la ralladura de naranja, las yemas y el jugo de naranja. Formar una masa lisa. Uslerear sobre una mesa enharinada dejándola de 2 a 3 mm. de grosor. Cortar circulos de 6 cm de diámetro. Llevar al horno sobre una bandeja con papel de mantequilla por unos 5 minutos.', '3-Mientras tanto batir las claras a nieve, y hacer el almíbar de pelo derritiendo el azúcar en una olla con un poquito de agua. Luego agregar el almíbar de pelo poco a poco a las claras batidas hasta enfriar, incorporar suavemente el azúcar flor.', '4-Unir dos masitas con manjar y cubrir la superficie y costados con merengue.', '5-Colocarlos en la bandeja de horno limpia, y hornearlos por unos 3 minutos a 350°F (180°C).']"
Chupe de jaibas,0.0,6,8,"['30 grs de mantequilla', '1 cebolla mediana cortada en cuadros pequeños', '1 ajo picado finamente', 'Sal y pimienta a gusto', '1 taza de vino blanco', '1/2 kilo de carne de jaiba', '350 ml de leche líquida', '50 grs de mantequilla', '50 grs de harina sin polvos de hornear', 'Una pizca de nuez moscada', '200 grs de queso mantecoso', '']","['1-En un sartén freír a fuego lento junto con la mantequilla (30 grs.) la cebolla. Apróximadamente unos 8 minutos. Luego agregar el ajo picado. Agregar sal y pimienta. Luego agregar el vino blanco dejar hervir uns minutos para posteriormente añadir la carne de jaiba. Hervir a fuego lento hasta que reduzcan los jugos.', '2-Mientras tanto en una olla preparamos una salsa blanca derritiendo la mantequilla, luego agregar la harina de golpe, batir bien y cuando esta mezcla esté sin grumos se puede agregar la leche poco a poco, aliñar con sal , pimienta y nuez moscada.', '3-Luego agregamos la salsa blanca a la mezcla de jaiba, unir bien. Luego se coloca en pocillos de greda o simplemente en una fuente que pueda ir al horno. Colocarle trozos de queso mantecoso. Llevar al horno a gratinar por unos 5 minutos.', '4-*Mi suegro le agregó unos huevos duros, pero esta parte es totalmente optativa.']"
Chupe de locos,42.0,2,,"['4 locos grandes o 1 tarro de locos cocidos', '1 pan (puede ser 1 marraqueta o 3 láminas de pan de molde)', '3/4 taza de leche líquida', '1 cucharada de aceite', '1 cebolla picada en cuadros', '1 trozo de pimentón rojo picado en cuadros', '3/4 taza de queso rallado', 'Sal y pimienta a gusto', '1 cucharadita de mantequilla', 'Perejil picado (opcional)']","['1-Si ocupa locos crudos, debe cocinarlos en una olla con agua y sal, por 50 min.', '2-Una vez listos picarlos en cuadros. Si ocupa locos en tarro, estos vienen listos para usar.', '3-Remojar el pan en la leche por unos 20 minutos. Luego pasar por el colador.', '4-En un sartén con aceite freír la cebolla picada por unos 4 minutos a fuego medio.', '5-Luego agregar el pimentón picado y cocinar unos 2 minutos más.', '6-Agregar los locos picados, pan remojado y un poco del caldo de la cocción o el caldo que viene en el tarro, 1/2 taza app.', '7-Luego añadir la mitad del queso, mantequilla, sazonar con sal y pimienta a gusto.', '8-Pasar la mezcla a un molde idealmente de greda o el que tenga.', '9-Luego poner el resto de queso encima y llevar al horno a gratinar.', '10-Si gusta pueden servir con perejil picado encima.']"
Pan para sandwich,20.0,12,,"['1 taza de agua tibia (105°-115°F) (40°-46°C)', '1 sobre de levadura seca en polvo\xa0 (7 grs)(2 1/4 de cucharadita)', '1 taza de leche liquida tibia (105°-115°F) (40°-46°C)', '2 cucharadas de mantequilla derretida', '2 cucharadas de azúcar granulada', '1 1/2 cucharaditas de sal', '5 1/2 a 6 tazas de harina', '1 yema de huevo con 1 cucharadita de agua']","['1-Combinar 1/2 taza de agua tibia con la levadura y una pizca de azúcar granulada en un pequeño bol. Revolver hasta disolver bien y dejar reposar unos 10 minutos.', '2-En un bol grande colocar el agua restante, leche, mantequilla, azúcar y sal. Luego agregar la mezcla de levadura, revolver un poco y agregar 2 tazas de harina y mezclar muy bien.', '3-Continuar revolviendo (puede ser con la ayuda de una mezcladora o una batidora eléctrica que traiga las piezas para amasar). Hasta lograr incorporar bien la harina y lograr una mezcla cremosa, posteriormente ir incorporando de a 1/2 taza de harina.', '4-Cuando la masa ya no se pegue en el bol, se puede comenzar amasar unos minutos.', '5-Luego en otro bol engrasado con aceite o mantequilla, colocamos la masa allí en forma de bola y dejamos reposar la masa tapada con papel de plástico o un paño de cocina por una hora o hasta que doble su volumen la masa.', '6-Una vez listo, formamos los panes, podrían salir unos 8 unidades o más, todo depende del tamaño que deseen sus panes. Pueden hacerlos más pequeños para hacer hamburguesas y en ese caso podrían salir hasta 12 unidades.', '7-Colocar el pan en la bandeja del horno cubierta con papel de mantequilla. Dejamos reposar nuevamente el pan.', '8-Precalentar el horno a 400°F (200°C).', '9-Justo antes de colocar el pan en el horno, pincelar cada pan con la mezcla de yema más agua.', '10-Hornear por unos 15 a 20 minutos.']"
Cola de mono,20.0,,,"['1 litro de leche líquida', '1 taza de azúcar granulada', '3 cucharaditas de café instantáneo en polvo', '1 taza (240ml) de aguardiente', '5 clavos de olor', '1 pedazo de cáscara de naranja', '1 pizca de nuez moscada en polvo', '1 cucharadita de esencia de vainilla', '2 palitos de canela']","['1-Colocar en una olla la leche, azúcar, clavos de olor, cáscara de naranja, nuez moscada y palos de canela. Revolver hasta disolver el azúcar.', '2-En una taza disolver las 3 cucharaditas de café con un poco de agua caliente. Reservar.', '3-Cuando la leche suelte el primer hervor, apagar el fuego y agregar el café y la esencia de vainilla.', '4-Dejar enfriar.', '5-Finalmente agregar el aguardiente.', '6-Pasar la mezcla por un colador y envasar.', '7-Servir frío.']"
Cocadas y confites,20.0,30,,"['2 paquetes de galletas bajas en azúcar e idealmente sabor a vainilla y sin crema', '1/2 tarro de manjar o 1/2 taza de dulce de leche', '1 1/4 taza de coco rallado', '1/2 taza de leche condensada', '1/2 taza de chocolate en polvo amargo', 'Virutas de chocolate y de colores']","['1-Moler los dos paquetes de galletas, idealmente utilizar el procesador de alimentos o la juguera.', '2-Para las cocadas unir la 1/2 taza de dulce de leche, 1 taza de coco rallado y 1 taza de galletas molidas. Unir bien hasta lograr una buena consistencia.', '3-Formar bolitas pequeñas y pasarlas por el coco rallado restante.', '4-Para los confites mezclar la leche condensada con el chocolate en polvo amargo.', '5-Agregar el resto de las galletas en polvo. Unir bien y formar bolitas, para luego pasarlas por virutas de chocolate y de colores.']"
Costillar de cerdo con puré picante,55.0,2,,"['1 costillar de cerdo (1 kilo app.)', '1 cucharada de mostaza', '1 cucharadita de ajo en polvo', '1 taza de vino blanco', '1 cucharada de aceite de oliva', '2 cucharadas de salsa de tomate', '1 cucharadita de azúcar morena', 'Sal y pimienta', '1 cucharadita de ají color o páprika', '1 cucharadita de tomillo fresco', '1 cucharadita de orégano', '1 kilo de papas', 'Leche', 'Sal, pimientas blanca', 'Mantequilla', 'Ají en pasta', 'Merquén (optativo)']","['1-Colocar el costillar en un recipiente y esparcir con la mano la cucharada de mostaza sobre éste.', '2-En un pequeño bol mezclar el resto de los ingredientes (vino,aceite, salsa, azúcar, sal, pimienta, ají color, tomillo, orégano). Verter sobre el costillar y tapar el recipiente con papel de plástico. Dejar reposar en el refrigerador un par de horas. Dar vuelta un par de veces para que se impregnen los sabores.', '3-Se puede cocinar directamente en una parrilla. También pueden hornearlo por unos 35 minutos a 400° F (200°C). Deben dar vuelta el costillar y pintar con el lïquido de la marinada para que no se reseque.', '4-Mientras tanto hacemos un puré, cocemos las papas sin cáscara y cortadas en cuadros grandes en agua fría. Una vez que empieza a hervir el agua se cuenta aproximadamente unos 15 a 20 minutos.', '5-Luego se cuelan las papas y se les retira del agua. En una olla calentamos la mantequilla y la leche. Mientras tanto, usamos el pasa puré o las molemos con algún utensilio adecuado. Una vez molidas las papas, agregamos la mezcla caliente de leche y mantequilla, sazonar con sal y pimienta. Luego adjuntamos el ají en pasta y el merquén.', '6-Finalmente servimos un poco de puré y encima un trozo del costillar.']"
Croquetas de zanahorias y zapallo italiano,27.0,8,,"['1 cebolla pequeña cortada en cuadros', '1/2 cucharadita de aceite', '2 zanahorias grandes ralladas', '1 zapallo italiano grande rallado', '3 huevos batidos', 'Sal y pimienta a gusto', 'Aceite en spray']","['1-Freír la cebolla en el aceite por unos 4 minutos.', '2-Luego agregar la zanahoria y el zapallo italiano.', '3-Aliñar con sal y pimienta. Retirar del fuego.', '4-En un bol batir los huevos y luego agregar la mezcla anterior.', '5-Freír en un sartén rociado con aceite en spray. Colocar las croquetas por cucharadas grandes, y freír 3 minutos por lado aproximadamente.']"
